KOTAK,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.3
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
