KOTAK,HDFC,ICICI,AXIS,IDFC,SBI,PNB,BOB,CANARA,UNION
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
4.25,4.5,4.75,4.75,5,4.5,4.5,4.5,5.5,4.4
7,4.5,4.75,5.75,5,5.25,5.5,4.5,6.25,4.4
6,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,4.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
6,5.75,5.75,5.75,6.5,5.25,5.5,5.25,6.25,5.25
